,,,,,,Crop,Apple,,,,,
Disease name,Crop Age (Days),Stage,Temp,,Humidity %,,Duration (hrs),Risk %,,,,
,,,Min,Max,Min,Max,,,,,,
Apple Scab,March-10 April,vegetative,10,20,85,100,9--12,60,,,,
Apple Scab,11 April- 10 May,flowering ,12,24,85,100,9--16,80,,,,
Apple Scab,11 May- 15 Aug,Fruiting Stage,15,25,80,100,6--12,70,,,,
Apple Scab,16 Aug-Nov,harvesting stage,10,22,80,100,8--12,40,,,,
Alternaria Leaf Blotch,March-10 April,vegetative,15,22,75,95,8--10,35,,,,
Alternaria Leaf Blotch,11 April- 10 May,flowering ,18,25,80,95,8--12,45,,,,
Alternaria Leaf Blotch,11 May- 15 Aug,Fruiting Stage,20,30,80,100,10--16,75,,,,
Alternaria Leaf Blotch,16 Aug-Nov,harvesting stage,18,28,75,95,8--12,50,,,,
Marssonina Leaf Blotch / Premature Leaf Fall,March-10 April,vegetative,12,20,75,90,8--10,30,,,,
Marssonina Leaf Blotch / Premature Leaf Fall,11 April- 10 May,flowering ,15,22,80,95,8--12,40,,,,
Marssonina Leaf Blotch / Premature Leaf Fall,11 May- 15 Aug,Fruiting Stage,18,28,85,100,10--16,80,,,,
Marssonina Leaf Blotch / Premature Leaf Fall,16 Aug-Nov,harvesting stage,15,25,85,100,10--14,70,,,,
Powdery Mildew,March-10 April,vegetative,10,22,60,90,6--8,60,,,,
Powdery Mildew,11 April- 10 May,flowering ,12,25,60,90,6--10,75,,,,
Powdery Mildew,11 May- 15 Aug,Fruiting Stage,15,18,55,85,6--8,65,,,,
Powdery Mildew,16 Aug-Nov,harvesting stage,10,22,60,85,6--8,35,,,,
Collar Rot / Crown Rot,March-10 April,vegetative,10,20,80,100,24--48,40,,,,
Collar Rot / Crown Rot,11 April- 10 May,flowering ,12,22,80,100,24--48,45,,,,
Collar Rot / Crown Rot,11 May- 15 Aug,Fruiting Stage,15,28,85,100,24--72,75,,,,
Collar Rot / Crown Rot,16 Aug-Nov,harvesting stage,10,24,80,100,24--48,60,,,,
Root Rot,March-10 April,vegetative,10,20,80,100,24--48,40,,,,
Root Rot,11 April- 10 May,flowering ,12,24,80,100,24--48,45,,,,
Root Rot,11 May- 15 Aug,Fruiting Stage,15,28,85,100,48--72,75,,,,
Root Rot,16 Aug-Nov,harvesting stage,10,24,80,100,24--72,60,,,,
Sooty Blotch and Flyspeck,March-10 April,vegetative,10,20,75,90,8--12,25,,,,
Sooty Blotch and Flyspeck,11 April- 10 May,flowering ,12,24,80,95,10--12,35,,,,
Sooty Blotch and Flyspeck,11 May- 15 Aug,Fruiting Stage,18,28,85,100,12--24,75,,,,
Sooty Blotch and Flyspeck,16 Aug-Nov,harvesting stage,15,25,85,100,12--24,80,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,